Line,Avg_Delay,Total_Delay,Incident_Count
600 SERIES (96 WILSON),0.0,0,1
600 SERIES (SHUTTLE),0.0,0,1
600 SHUTTLE,0.0,0,1
600 SHUTTLE LINE 1,0.0,0,1
600-RAD,0.0,0,2
600/ 84A SHEPPARD,0.0,0,1
600/ 85,0.0,0,1
600/ LINE 2 SHUTTLE,2.0,2,1
600/42,1.0,1,1
600RAD,0.0,0,7
601RAD,0.0,0,1
61 AVENUE ROAD NORTH,20.29054054054054,3003,148
61 AVENUE ROAD NORTH (,0.0,0,1
62 MORTIMER,31.040201005025125,6177,199
63,31.0,124,4
63 OSSINGTON,19.636199095022626,21698,1105
64,121.0,121,1
64 MAIN,35.95503597122302,19991,556
65 PARLIAMENT,16.81150159744409,5262,313
66 PRINCE EDWARD,26.74074074074074,4332,162
67 PHARMACY,20.872659176029963,5573,267
68 WARDEN,25.497363796133566,14508,569
69,18.0,18,1
69 WARDEN SOUTH,24.82919254658385,7995,322
7 BATHURST,12.726618705035971,15921,1251
7 BATHURST (RAD),0.0,0,1
70 O'CONNOR,17.867469879518072,4449,249
705,5.0,5,1
71 RUNNYMEDE,33.11353711790393,7583,229
7107,10.0,10,1
72 PAPE,16.10169491525424,10450,649
73 ROYAL YORK,29.660574412532636,11360,383
74 MOUNT PLEASANT,46.962025316455694,3710,79
74 MT. PLEASANT,28.03448275862069,813,29
75 SHERBOURNE,28.465827338129497,15827,556
76,0.0,0,1
76 ROYAL YORK SOUTH,20.415807560137456,5941,291
76 ROYAL YORK SOUTH (B,0.0,0,1
77 SWANSEA,84.6875,9485,112
77 SWANSEA (1 BUS ROUT,27.0,27,1
77 SWANSEA (LINE 2 SHU,15.0,15,1
78 ST. ANDREWS,23.20805369127517,3458,149
79 SCARLETT ROAD,21.897435897435898,6832,312
7935,0.0,0,1
79A SCARLETT ROAD,30.0,30,1
79B SCARLETT ROAD,24.0,24,1
8 BROADVIEW,28.193693693693692,6259,222
80 QUEENSWAY,30.232323232323232,8979,297
80 QUEENSWAY (RAD),0.0,0,1
806,10.0,10,1
806 - LINE 6 SHUTTLE,10.0,10,1
806 LINE 6 SHUTTLE,10.0,10,1
82 ROSEDALE,97.80701754385964,5575,57
825,15.0,15,1
827,13.0,13,1
83 JONES,19.496503496503497,2788,143
831 STREETCAR WAY,0.0,0,1
84 SHEPPARD,0.0,0,1
84 SHEPPARD WEST,15.829931972789115,11635,735
84 SHEPPARD WEST 984,57.0,57,1
85 SHEPPARD EAST,15.813773035887488,16304,1031
